title,soldPrice,soldDate,bids,link
Raspberry Pi Model 4B 8Gb ram + heat sink + keyboard + power supply,120.0,29 Aug 2022,1 bid,https://www.ebay.co.uk/itm/204079822266?hash=item2f841af5ba%3Ag%3AMhgAAOSwbnxjDInH&amdata=enc%3AAQAHAAAAoH9bQIK7%2BBCA1e635oD5LQVRT8vPFY9W1qhNO%2Fwdd3y2j%2FwLBBEDS7NmnnBrm3vhGtgyYQTjvJuqPf%2FsDTxLFQ5MjqdzvuKFpK%2BxPi263l%2FVzCKas8O011UJ5s8whIyoogFWfjV0YDihjFlS%2BLKKA5GuMuacXFOZl9OQEAykkcDOHtGZPAd2UmVL4E%2Fb1eifFgelOd9hUuPEjLzxGGqftgc%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),72.0,28 Aug 2022,27 bids,https://www.ebay.co.uk/itm/295170151075?epid=27053252260&hash=item44b98312a3%3Ag%3Ai0EAAOSw1X1jALZM&amdata=enc%3AAQAHAAAAoDNfpGafrjnGHcb1iEWv9APBtLQnkDXvVl3OF%2B8pl0IzaiDjqBkkCtJpDVwxnr8e33WuSbWbgQbvdXj1XIOMZ1gWWDquwOAZwDFUXq4PZLaC%2BBmaJVZQKh%2BojfRPyVQjUxE3iw2q7WgEV2BOO91dB3KPEdZyLsPVmJJbFt6%2BkZdD9kp%2F2El%2B8H1ru6nU3Ai1Y1uaquo92S0BNctZ3cQCBSw%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) with extras (PSU/EDU Kit),95.0,27 Aug 2022,11 bids,https://www.ebay.co.uk/itm/295170133563?epid=27053252260&hash=item44b982ce3b%3Ag%3A7n4AAOSw63BjAK9g&amdata=enc%3AAQAHAAAAoFglRYogk5eEooE8zkYr%2FDheoi1mtNWLX5zkDqYydPvlTRV0zVSIcnqojRvGbtqYZzL1poNLaa8a4NDe3FnbMR670x29EhJ4MgzBNNNrWYnYI1umL%2BJoUNGvq%2BmG1XdS45Spmijf84NJ7zkIBfvyjbtCqcxIwQjrHTrBZOmplUpgX7CZk7CxlV1yBpYWBh8j5lYDfEdj9oAHoWeq3sSeWh4%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),56.51,26 Aug 2022,6 bids,https://www.ebay.co.uk/itm/165634956204?epid=27053252260&hash=item26909cdbac%3Ag%3ABqAAAOSwKV9i%7E6FE&amdata=enc%3AAQAHAAAAoJ8uLb%2B2aTrDRHhRJp85knW79PQOkNBjqCXv9PIN8YNxT37zXSvFjoe9M%2BYaEytkbKTAd1S4xR4Ml9Vu0JMq0e7S8QAmzkiP5LuH%2FvwzlWu%2FwPFukgLn1IeuGta27LHi5a%2FXqnEgzek%2BBI33LZFMoBIrcb14s0z3IeSkYAaAXJt9K18pEFMDjufwKHtuuPdSiqTZM2%2FbUq53RqS98imIpTc%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi Model 4B With 8GB RAM already in case (some faults see description),68.0,25 Aug 2022,24 bids,https://www.ebay.co.uk/itm/234660597754?hash=item36a2dc8ffa%3Ag%3AVvMAAOSwMK1i-Ssm&amdata=enc%3AAQAHAAAAoFqYwjLwbQu%2FMzoPgtDQJ2UZbJ2wf9sIRKWYIidF2%2BwD8RINsAKGe08%2BxoUgWF87OKjvkkILHBqVH40cpdE7A%2BS8zS257UNbN8V6r%2F0qqUPEzN%2FRsq5pIS%2Fh%2FhsmWJks6rptiWQbGIPDRWRjzSNE85jd9sOVl2%2BybQP7qewPj%2BesTCndGoLr2pz3%2BwEVPx9FA59%2Fn35CenP%2FiAc3rGmuYD8%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),70.0,24 Aug 2022,18 bids,https://www.ebay.co.uk/itm/185541939965?epid=27053252260&hash=item2b332952fd%3Ag%3AGy0AAOSwsjdi%7EQ0-&amdata=enc%3AAQAHAAAAoC0zylZOEdEJT8bXemFhWm0BfIhriH4IK%2FvJkR7MxUvPX07UlUTqXr5rcFZLJUNhLAQcwVk3ej1TJUtJ6X0OqtGLjwtbMKk0Qwow0mXenNSchnwUQV44h3d7aUOQp3ePTaOGXs38VW%2ByIUy%2Bk00QgQbB8UoJ%2FxX%2FHVK%2BV8OG6GufWo%2F5Yu7Cf0Y7HY8iAWpADfEO7GNhYs1J6WIWvoxxr5c%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),70.5,22 Aug 2022,9 bids,https://www.ebay.co.uk/itm/265839183060?epid=27053252260&hash=item3de54004d4%3Ag%3ArUkAAOSwiX9i%7E6Mx&amdata=enc%3AAQAHAAAAoBdcxM2TFMzFZrVlsn0EuHIJbAzMUzkqeAcxQG2eXYcxuck5OKOOs0DRVy9fRjL0wX8AxeFo7JMQRzm5KrBd9doyouBcuLCBhJofYhOxsJutrtHyxzczcFnKOEoSHtvSjDn1%2FW8vSse5ZGq0hhNhIcUVW8Mb4qU1JZBIAdrDyFtA3rOcATs3QXovRUn8f9b1b2tLylSCn2WLfWlvqwS1%2FRY%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),82.16,22 Aug 2022,16 bids,https://www.ebay.co.uk/itm/265839129818?epid=27053252260&hash=item3de53f34da%3Ag%3AEK8AAOSwF8Ni%7E5ze&amdata=enc%3AAQAHAAAAoNWx01iR4ekWJmlcZryq0e%2BL%2FBX51xsKEj6UgtKSh4zZR4gwOF6zEANqkRfl2TFZ2qknyGIHXRoGXbdIH3cTz%2FeszbsCtGlcYkevR5D52SGNV1gFOqF5FkCVJr72M79BQT1LApcKMmT1ZwtwwcJ7l%2FkLXqYm4LBE4QfMgn5qlONRyPyUFg1zSdkTe8WiIv60E7kF7S%2BHkD7fS2JFARvY%2FOk%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi RP-4B-8GB 4B 8GB 4 x 1.5GHz Computer System,106.0,22 Aug 2022,28 bids,https://www.ebay.co.uk/itm/204069094087?epid=16039083418&hash=item2f837742c7%3Ag%3A%7Er4AAOSwYgNi-hWu&amdata=enc%3AAQAHAAAAoLhadPZ0qyB34sHTgAi%2BVR3DHky1sySj1xJVPuQIT1%2BwoO8NLlyfXZIfv%2BaCCqLBvd4%2BjquwoCwbmHNjBjX%2B8emxEMQirMvGFtKUDcZ4GDYlvj%2F1R7WqnWKzkDq3QN7Oc4FxscbwZmsqt%2BeLsHtwrOrO8dSxiJNOXM4Pw9mPoHHGhA63oigcuVlW8QqT8PnjC%2FY0HyQaP0BiCFnFFkrxevc%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
Raspberry Pi RP-4B-8GB 4B 8GB 4 x 1.5GHz Computer System,100.0,22 Aug 2022,20 bids,https://www.ebay.co.uk/itm/204069093631?epid=16039083418&hash=item2f837740ff%3Ag%3Am5oAAOSwJvVi-hT8&amdata=enc%3AAQAHAAAAoHERxPyxxzTonodK1coC0JpSl3zoB%2Ft5Z5bwAGwJxiAoopG0H3nQRwu0PJ1aJ7enx9%2BvYk1zsk9ZF7TqSRleNB977zqqENBNouDx9EUSylp9Wy9spxYXUojp0F9V80JTZP%2BA5OUKO21EXeN0ypFpFI%2Bc6DbE0yIcrxkcnxaPPpfIE43MQR3ynb36lzHNQbgwxmHw%2Fn%2FhvtvaLFfSsHgxbYo%3D%7Ctkp%3ABk9SR_6hi4zeYA&LH_Auction=1
