title,soldPrice,soldDate,bids,link
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),72.0,28 Aug 2022,27 bids,https://www.ebay.co.uk/itm/295170151075?epid=27053252260&hash=item44b98312a3%3Ag%3Ai0EAAOSw1X1jALZM&amdata=enc%3AAQAHAAAAoDNfpGafrjnGHcb1iEWv9APBtLQnkDXvVl3OF%2B8pl0Iz7Bfhxu8%2BGKGNHUeLtURx9Qd1tn6PoZtCGCaG6TdjQD9382wFVfPs6tK9tM8I9lpfsW5FDbBoc5ed69jHlUsJW1kGy9JD%2BAl0tDEGaNfG1Sj9MBtquPvDYUyM6eeQ5ah%2BQ26jJz2rw%2F%2FJFZG2cAxD%2BsNtzo%2F%2BrqUw5lY%2Fe5io4TU%3D%7Ctkp%3ABk9SR6zap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) with extras (PSU/EDU Kit),95.0,27 Aug 2022,11 bids,https://www.ebay.co.uk/itm/295170133563?epid=27053252260&hash=item44b982ce3b%3Ag%3A7n4AAOSw63BjAK9g&amdata=enc%3AAQAHAAAAoFglRYogk5eEooE8zkYr%2FDheoi1mtNWLX5zkDqYydPvlYJZyJoAFkjIErk20OONchJfWLtGz1MpDZE5EL5X1ic9GNpAoXZ6JcIucYyWjlFIp7J94LhXLfYQxoLR0TjuNAoIg1e7JlxDxCZmInLTJyd%2BFg6Pbq5IYTfWHztdFCxDI57nK1CDC8nKh0ItTKT7%2Fyulw72KCeLC0iKh3EK5Ho1Y%3D%7Ctkp%3ABk9SR6zap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),56.51,26 Aug 2022,6 bids,https://www.ebay.co.uk/itm/165634956204?epid=27053252260&hash=item26909cdbac%3Ag%3ABqAAAOSwKV9i%7E6FE&amdata=enc%3AAQAHAAAAoJ8uLb%2B2aTrDRHhRJp85knW79PQOkNBjqCXv9PIN8YNxjxGLonx7oj984peYf1qqCwtoUxurKOKdh4K6x5BeCpIUTczed8FqnDf%2Bl6S5kTBkd6lNA0Oy%2FZNwBeWLD6lc%2FSdr9tH910HELtgih%2FXX2ILVPW0tx6yZahbtXLfQzJ%2FdUA1O%2Blxmtfa6G0mY6IJAKZiOsdxCAUN8uH88OvzaBoo%3D%7Ctkp%3ABk9SR6zap6PdYA&LH_Auction=1
Raspberry Pi Model 4B With 8GB RAM already in case (some faults see description),68.0,25 Aug 2022,24 bids,https://www.ebay.co.uk/itm/234660597754?hash=item36a2dc8ffa%3Ag%3AVvMAAOSwMK1i-Ssm&amdata=enc%3AAQAHAAAAoFqYwjLwbQu%2FMzoPgtDQJ2UZbJ2wf9sIRKWYIidF2%2BwDTHp1kcsFcEsipf%2FKk05DYkMD7kT9qu0QHWgGD8b%2F9GM4W%2F50OMrEGuztmPa65IGie%2BMhlliAuZyuxSw4OMFVRqn5BatOZiiaUDJtkcnopNAynpHhuiVW1edxal3U0nAYDTOkOj%2FJtVw4Fmh3qegfmDtAwIyRDxKl9Tn1VBCHEE0%3D%7Ctkp%3ABk9SR6zap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),70.0,24 Aug 2022,18 bids,https://www.ebay.co.uk/itm/185541939965?epid=27053252260&hash=item2b332952fd%3Ag%3AGy0AAOSwsjdi%7EQ0-&amdata=enc%3AAQAHAAAAoC0zylZOEdEJT8bXemFhWm0BfIhriH4IK%2FvJkR7MxUvPx%2F5uLKTGxPjHMRO5kDy17gXgJQ%2F%2BaKmbt36can%2FsJPJDyftfT4w86JyvccgqJYAzcKOfflFcUaILpbxrf6qAFJ%2FznHmvi1aXMt8I1TXN0DArxXaD%2BNmkzCTvwEyfWq2VeyJgICglcTSSuLjDNXUTEoVDkmyE3tD1ZROKdhCZK%2Bc%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),70.5,22 Aug 2022,9 bids,https://www.ebay.co.uk/itm/265839183060?epid=27053252260&hash=item3de54004d4%3Ag%3ArUkAAOSwiX9i%7E6Mx&amdata=enc%3AAQAHAAAAoBdcxM2TFMzFZrVlsn0EuHIJbAzMUzkqeAcxQG2eXYcxPZThAWeNP%2FRNX8fxSGdB%2Fr9dtOWryweNtub6tzvY%2BJZ702mlzgXAELkgjdM6h06gSWBBYHeii3%2BMnDiUixVvE3EUt4jDFAhhj7GI11ildQ0cPJBkeQZFG452zg%2F81fbX2MeP3xNKOGk%2Fyv5vXcZRam%2FoN1VmZYJac5l8xfFCuS0%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),82.16,22 Aug 2022,16 bids,https://www.ebay.co.uk/itm/265839129818?epid=27053252260&hash=item3de53f34da%3Ag%3AEK8AAOSwF8Ni%7E5ze&amdata=enc%3AAQAHAAAAoNWx01iR4ekWJmlcZryq0e%2BL%2FBX51xsKEj6UgtKSh4zZxFYczWgrTTNs0h19DirAYdH%2Bb1wk9DOwpwwlVNhYrnN2tKopwcbTjH%2BrAYgi2PuGEWFL5PYtU6luhqNEcFzyl3K4zuM54cu1ugQcw2fgHPcbmzLUHo%2FyP4IzboCtUS2jucFSSIVX5WmtRYv7qAbx4jG5Kfh0VPzwpA%2F%2BcStV18A%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry Pi RP-4B-8GB 4B 8GB 4 x 1.5GHz Computer System,106.0,22 Aug 2022,28 bids,https://www.ebay.co.uk/itm/204069094087?epid=16039083418&hash=item2f837742c7%3Ag%3A%7Er4AAOSwYgNi-hWu&amdata=enc%3AAQAHAAAAoLhadPZ0qyB34sHTgAi%2BVR3DHky1sySj1xJVPuQIT1%2Bwoccv0rmy37NEhM7hlQnW7m2NzvJ9zuPigyiEbQ%2BuBt79b06Y96ycuPXzKsUYplBl1oloGC9VsK7CIee4%2BoUyEQJB3SJuVfFbjWGGTZBI3SvigUEggdc2QUqNejE4ib8ajAeD4Flf%2BD7hsYDFGyHSmn3Wf2VluFXD9PsXwSQyUxQ%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry Pi RP-4B-8GB 4B 8GB 4 x 1.5GHz Computer System,100.0,22 Aug 2022,20 bids,https://www.ebay.co.uk/itm/204069093631?epid=16039083418&hash=item2f837740ff%3Ag%3Am5oAAOSwJvVi-hT8&amdata=enc%3AAQAHAAAAoHERxPyxxzTonodK1coC0JpSl3zoB%2Ft5Z5bwAGwJxiAoLJdnCT5f6RC8mCPFREHuO96wBySj7S8v6xW3Gwq%2FdZpvCSCMJ%2Fad0csojX06MkdZlRJQjVYgYEiGqj0MMApJvD4dHYwyevmCiPQRhxtI4I6qrP3RTy%2BMA3iQ30MTE2SO5s3Se8Uvk%2BOwadWka%2FK7dkq2bHqn1Ktl3KG3kRps9xs%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) Inc genuine power adapter,68.0,21 Aug 2022,14 bids,https://www.ebay.co.uk/itm/204064888556?epid=27053252260&hash=item2f833716ec%3Ag%3AfYEAAOSwuKVi8o-b&amdata=enc%3AAQAHAAAAoCrUzVq20R5yZsZvLr88RGMMcWNXYUoj7FI18geOSlIOGRcxY5dgys2DXfXQCrynDc1jPoNfIQLirUEfuWWqZwW7D9OswyhgC5Va5Aq9mFkkMIrvbtk1tBQCRU0BHUYO8usuMHqv%2Bs%2BmzHgU7Hidrt%2BliCVn6lATQsXQDnHuSe4%2FcZjeCN4IH5puNB5G0bnouQ%2BYe0sQr8YQ8K26MshLmxY%3D%7Ctkp%3ABk9SR67ap6PdYA&LH_Auction=1
