title,soldPrice,soldDate,bids,link
Samsung Galaxy S20 G980F - 128GB - Cosmic Grey (Unlocked) BROKEN SCREEN,107.0,29 Aug 2022,23 bids,https://www.ebay.co.uk/itm/255698508800?epid=21036891496&hash=item3b88d19c00%3Ag%3ADaoAAOSwr-xjC31h&amdata=enc%3AAQAHAAAAoHzaspS0eidTWQDFuCSnHaH12uMASA%2F50aBkDYOD87P7S%2Fk%2FeRIGGOE%2B64AgN1EjSJM0P7nQ1RYdkWXGp25XTrOy3Ky%2F8lgNRaRG5Qc2ByMr753LW3j6xsvB2CdYc6TqFzQK20Rh3On9LMqAqhqLfMub%2BEfoplEGGayz3afWt0pwYa0Hi2CH%2BmET7bfcc4E7eXJc3pay1aJtrnqqYu7WXDA%3D%7Ctkp%3ABk9SR7DA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G SM-G986B/DS - 128GB - phantom black  (Unlocked)...,165.0,29 Aug 2022,2 bids,https://www.ebay.co.uk/itm/295175637463?epid=7036892862&hash=item44b9d6c9d7%3Ag%3AqVcAAOSwd5di9426&amdata=enc%3AAQAHAAAAoLKSRodgNvyxUDfmo0Cptonbh1S7nINHl7fIVui8qdQY%2BHEQ5x2kq1saGzpsh9dqLI4cJoU9F7EdNuPmQF8Ujqvmm%2Bry871rAQWLnpgqx1Ekp2UMINesbni5XBpZpPbxrCOptufBssC4FoEVkSRwwAEH0fMvGW%2FO5lCwuzeam8Pq6NFWiHxVVk6wChXfqOLWSTjwKCRQgzVrGzoxURXk%2FEk%3D%7Ctkp%3ABk9SR7DA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE SM-G780F/DS - 128GB - Cloud Navy (EE),170.0,29 Aug 2022,2 bids,https://www.ebay.co.uk/itm/144689727545?epid=2312263459&hash=item21b02e0839%3Ag%3AXAwAAOSw1fljA3xu&amdata=enc%3AAQAHAAAAoGfQdB%2FmYJUE8H0UTufWdgjh7iDcB5tfZFJOW%2F0ipbyvJIpfzj51KeH36jAE9jqVjoanpNM8YtEBApBfgcpU6edLcjYtxkjypvfYNPMAz68J%2FdRBd19RmUoR3%2BcR%2F1rl4G8%2BtnfXRJ%2FmqOlLZKTrm%2BwIsvF89VfetCfgfL0iCLBCnnTX0EoAX55RQmBFOeVVZxxaf2gj4xswLDUX8iv7hck%3D%7Ctkp%3ABk9SR7DA-aPdYA&LH_Auction=1
Faulty Samsung Galaxy S20 FE - 128GB - Navy - Unlocked - (SM-G780F) - (JS543),87.0,29 Aug 2022,28 bids,https://www.ebay.co.uk/itm/165639004392?hash=item2690daa0e8%3Ag%3A-34AAOSwVTdi49qI&amdata=enc%3AAQAHAAAAoFILoBqN%2FhaqqFEvkGikRDRw6J%2Fgl9ErYHBL1LxEMprg2CK35rB8XuXlIpQSg3uPXbNtJrsHsO2%2Bv9AA5CtOCN%2FRgeqeEIPI%2F7RoWeApQE8IUFU7xNxOmuZISJwxqQE0LEfLqonNLC%2FIjR1gnypJQh7cOvXd%2FcFUsAw83H5P9VyFUuh2c6WnDg6HpkPqdaiYOm5TYVPnq83TSvKHCrtG7lc%3D%7Ctkp%3ABk9SR7DA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE 5G SM-G781B/DS - 128GB - Cloud Lavender (Unlocked),165.0,29 Aug 2022,23 bids,https://www.ebay.co.uk/itm/125483039793?epid=8041205319&hash=item1d375f3c31%3Ag%3AEoQAAOSwP5pjCL6F&amdata=enc%3AAQAHAAAAoIEZjyE9QyHh1CTgaiMM7iqGNsF4ru7AOBTSRXAYDM5sdACrn%2FrBs%2FaHu8YRKnIyRfZDKxYYR%2FVB4TKwTIpHs2BoJG5xpLTPFZ5BQU37uOB0Bt7G55vcmbCVJ%2FGyUXZZtOrvlMhp8P4wn7Qyvq3xrhvMXZYn2YYgg7KPqL4y9bZWoh9t5P71wEE9l1mY6D%2BTngEj8kmTAoBHhgT4VSN%2Fyj0%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G SM-G986B/DS - 128GB - Cosmic grey- Galaxy buds 1 ,235.0,29 Aug 2022,3 bids,https://www.ebay.co.uk/itm/363954150078?epid=23042468089&hash=item54bd5b9abe%3Ag%3A5JAAAOSw0CFjA1HK&amdata=enc%3AAQAHAAAAoIYnRnO9it0Fg7SjOtt8lFIOFs3jkVyqfnuh4vwoU9Oe353HX89AETAMSRrW0QIosek%2BdlDMxyelj6A8qVdERNLOrOo59ncLxOG5OMhGM6xGI92J8ZJxSaBqhZSiYtWckAv0GfXSiR646pIH7fm4oxrJVsJqdAIbDdE9bwhllYiHdatctQZZ3X%2FyGXm0Oq8%2Fefp9JHccAlqUG0k1fMEMkbQ%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20  5G   128GB - Cloud Blue(Vodafone),165.0,29 Aug 2022,3 bids,https://www.ebay.co.uk/itm/204077721472?epid=11036887414&hash=item2f83fae780%3Ag%3ArEgAAOSwklljCI-Q&amdata=enc%3AAQAHAAAAoLzm7M7hi7uMna2JOjIiK3s2ukQCGjS%2FmZ%2BoD%2BrjYi%2Bxm41NiXHmu7Dy5f0nK7xzKDqNn18thMTw7NILaUyy407dWHCx%2BTzANQ5T94VExsqd0xZWrhFZyF9eKMHgC3pKjErjVrxUqJUU1d3DIZe14RSBr%2FvDNPyW3kOlVhcRYCm0LKQO2cmp6DFNB%2B2febWcCbTXyp74adzDs21MvgfReY8%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G SM-G986B/DS - 128GB - Cosmic Black (Unlocked) (Dual SIM),205.0,29 Aug 2022,51 bids,https://www.ebay.co.uk/itm/385079303952?epid=7036892862&hash=item59a883df10%3Ag%3Ar6MAAOSwMxRjBeKm&amdata=enc%3AAQAHAAAAoKDbJTFK5tPuGRQrraAPNh%2B3ea51QOhqjtQVxtBDLGOFtw7E0AjMiVWgZjvnWh99wRrx%2Fx1HZvwdYK7o44ZlK43y0BcVIzVhvLQZQH92dbCaqQX5exOvKswcHFoBqDxLnY2tSsQ727uEg9L%2FRlTqBTFjdXqb2K74yyPDXcLECRuYb3Rnug7pHDEThVnu2%2FBiN%2B0BUBBcg1mAa7WEXYGGVfQ%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
"Samsung Galaxy s20 Ultra 5g SM-G988B - 128gb, unlocked, small screen impact",150.0,29 Aug 2022,9 bids,https://www.ebay.co.uk/itm/275432901800?epid=21036891518&hash=item4021148ca8%3Ag%3A8v8AAOSwNwVjBVU1&amdata=enc%3AAQAHAAAAoAn33881eJ%2BnZJ167O6bOXuDT0WDqO09dJ2NW7CURgEkzdYYBPwji%2FaU2pdw5iXBjuDePvQtxQ%2BBKygIEva%2F%2F%2B2N10qZStQO2naxrD1yVjtHENR%2FAmfnDWNBnX65JMOXxhxchg5l1Tdn37np2SuY7%2FD7YdMZSCR%2FylGPJZ7eywM2yoKyEi2YusNaWNt0408brTdqGaGG1KPWLvlLXwdxpQI%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE 5G SM-G781B/DS - 128GB - Cloud Mint (Unlocked),310.0,28 Aug 2022,3 bids,https://www.ebay.co.uk/itm/134206519106?epid=20041205733&hash=item1f3f54f742%3Ag%3AkD8AAOSwwJxjAjKy&amdata=enc%3AAQAHAAAAoEwJzuVO9nFayoL%2F07OoHlpXaDLs%2BdD0pPOjVSAgu%2BYChSGqQpkiwERqI2ldS28gtyJltDakwGOd%2F%2BemOfY8s1r4fB1KzM%2FrAayBxRBEz8%2F9CjcqcLDD2G8LCjVwdqfhvYrVSpw0CqMMYWIJyg%2BIUR2dBmm1dtJoVWpHFk5elQEIyQRepQyI06ecfLF9n53qsHgAIYad9jwWQ1uVd5Uu9KY%3D%7Ctkp%3ABk9SR7LA-aPdYA&LH_Auction=1
